,id,price,address,city,state,zipcode,type,beds,baths,sqft,latitude,longitude,url,broker
1406,2062395556,524900,1407 E 10600 S #46,Sandy,UT,84092,TOWNHOUSE,3.0,3.0,2305.0,40.55876,-111.84907,https://www.zillow.com/homedetails/1407-E-10600-S-46-Sandy-UT-84092/2062395556_zpid/,Presidio Real Estate Company
1407,12920883,749900,10213 S Roseboro Rd,Sandy,UT,84092,SINGLE_FAMILY,5.0,3.0,3871.0,40.565624,-111.84046,https://www.zillow.com/homedetails/10213-S-Roseboro-Rd-Sandy-UT-84092/12920883_zpid/,RE/MAX Associates
1410,12911626,610000,870 E Spartan Dr,Sandy,UT,84094,SINGLE_FAMILY,5.0,3.0,2064.0,40.59097,-111.86694,https://www.zillow.com/homedetails/870-E-Spartan-Dr-Sandy-UT-84094/12911626_zpid/,Equity Real Estate
1411,12927003,1150000,1896 E Foxmoor Cir,Sandy,UT,84092,SINGLE_FAMILY,7.0,4.0,5650.0,40.54992,-111.83763,https://www.zillow.com/homedetails/1896-E-Foxmoor-Cir-Sandy-UT-84092/12927003_zpid/,Pride and Property Realty
1412,331670324,615000,10565 S Sandy Sage Way,Sandy,UT,84070,TOWNHOUSE,4.0,4.0,2178.0,40.55941,-111.881195,https://www.zillow.com/homedetails/10565-S-Sandy-Sage-Way-Sandy-UT-84070/331670324_zpid/,NRE
1413,2062571705,1309900,8578 S Fayeway Dr #11,Sandy,UT,84094,SINGLE_FAMILY,4.0,4.0,4990.0,40.595505,-111.85737,https://www.zillow.com/homedetails/8578-S-Fayeway-Dr-11-Sandy-UT-84094/2062571705_zpid/,Berkshire Hathaway HomeServices
1465,12761020,1100000,1510 E Yale Ave,Salt Lake City,UT,84105,SINGLE_FAMILY,4.0,4.0,3274.0,40.74527,-111.847626,https://www.zillow.com/homedetails/1510-E-Yale-Ave-Salt-Lake-City-UT-84105/12761020_zpid/,Summit Sotheby Realty
1466,305058517,474995,21 E Coatsville Ave,Salt Lake City,UT,84115,SINGLE_FAMILY,2.0,1.0,1499.0,40.73169,-111.89026,https://www.zillow.com/homedetails/21-E-Coatsville-Ave-Salt-Lake-City-UT-84115/305058517_zpid/,REDFIN CORPORATION
1468,2072349052,352000,939 S Donner Way E #307,Salt Lake City,UT,84108,CONDO,2.0,2.0,1060.0,40.748768,-111.804504,https://www.zillow.com/homedetails/939-S-Donner-Way-E-307-Salt-Lake-City-UT-84108/2072349052_zpid/,Plumb & Company Realtors LLP
1469,12740867,399900,1418 S Utahna Dr,Salt Lake City,UT,84104,SINGLE_FAMILY,3.0,2.0,1752.0,40.737907,-111.92391,https://www.zillow.com/homedetails/1418-S-Utahna-Dr-Salt-Lake-City-UT-84104/12740867_zpid/,"Stephens-Naccarato Realtors, LC"
1470,2061149088,39990,1594 W 400 S #45,Salt Lake City,UT,84104,MANUFACTURED,2.0,1.0,800.0,40.76151,-111.93656,https://www.zillow.com/homedetails/1594-W-400-S-45-Salt-Lake-City-UT-84104/2061149088_zpid/,Realtypath LLC
1471,89424164,477000,230 E Broadway St APT 909,Salt Lake City,UT,84111,CONDO,2.0,2.0,938.0,40.76227,-111.88431,https://www.zillow.com/homedetails/230-E-Broadway-St-APT-909-Salt-Lake-City-UT-84111/89424164_zpid/,EXIT Realty
1472,2061197604,469990,518 N 1300 W #203,Tooele,UT,84074,SINGLE_FAMILY,4.0,2.0,3335.0,40.780704,-111.92804,https://www.zillow.com/homedetails/518-N-1300-W-203-Tooele-UT-84074/2061197604_zpid/,D.R. Horton Inc.
1473,12776329,595000,2605 S 1100 E,Salt Lake City,UT,84106,SINGLE_FAMILY,4.0,2.0,1980.0,40.713802,-111.85899,https://www.zillow.com/homedetails/2605-S-1100-E-Salt-Lake-City-UT-84106/12776329_zpid/,NRE
1474,12758145,539000,438 E Sherman Ave,Salt Lake City,UT,84115,SINGLE_FAMILY,4.0,2.0,1664.0,40.740536,-111.87845,https://www.zillow.com/homedetails/438-E-Sherman-Ave-Salt-Lake-City-UT-84115/12758145_zpid/,KW Keller Williams
1475,12735714,589900,48 W 300 S #2606N,Salt Lake City,UT,84101,CONDO,2.0,2.0,1373.0,40.76349,-111.89224,https://www.zillow.com/homedetails/48-W-300-S-2606N-Salt-Lake-City-UT-84101/12735714_zpid/,Principle Real Estate Group PC
1476,12737603,379900,1462 W Indiana Ave,Salt Lake City,UT,84104,SINGLE_FAMILY,2.0,2.0,1336.0,40.75155,-111.932884,https://www.zillow.com/homedetails/1462-W-Indiana-Ave-Salt-Lake-City-UT-84104/12737603_zpid/,"Prime Real Estate Experts, LLC"
1477,2072771251,675000,1433 E Browning Ave S,Salt Lake City,UT,84105,SINGLE_FAMILY,3.0,2.0,1825.0,40.73922,-111.84981,https://www.zillow.com/homedetails/1433-E-Browning-Ave-S-Salt-Lake-City-UT-84105/2072771251_zpid/,Utah Real Estate PC
1478,12756392,499999,660 S Iverson St,Salt Lake City,UT,84111,SINGLE_FAMILY,4.0,2.0,1613.0,40.75478,-111.881615,https://www.zillow.com/homedetails/660-S-Iverson-St-Salt-Lake-City-UT-84111/12756392_zpid/,"The Weller Group, LLC"
1479,12737576,349900,1387 W Wasatch Ave,Salt Lake City,UT,84104,SINGLE_FAMILY,2.0,2.0,1262.0,40.75291,-111.93061,https://www.zillow.com/homedetails/1387-W-Wasatch-Ave-Salt-Lake-City-UT-84104/12737576_zpid/,Realty ONE Group
1480,12717815,875000,606 N Columbus St,Salt Lake City,UT,84103,MULTI_FAMILY,6.0,3.0,1976.0,40.78264,-111.889565,https://www.zillow.com/homedetails/606-N-Columbus-St-Salt-Lake-City-UT-84103/12717815_zpid/,Mansell Real Estate
1481,12757046,574900,430 E 800 S,Salt Lake City,UT,84111,SINGLE_FAMILY,3.0,2.0,1243.0,40.75155,-111.878685,https://www.zillow.com/homedetails/430-E-800-S-Salt-Lake-City-UT-84111/12757046_zpid/,Coldwell Banker Realty
1482,305056188,850000,527 N Darwin St,Salt Lake City,UT,84103,MULTI_FAMILY,5.0,3.0,2320.0,40.780685,-111.89059,https://www.zillow.com/homedetails/527-N-Darwin-St-Salt-Lake-City-UT-84103/305056188_zpid/,Mansell Real Estate
1483,141825373,999978,343 N Quince St,Salt Lake City,UT,84103,MULTI_FAMILY,4.0,1.0,2200.0,40.776997,-111.89567,https://www.zillow.com/homedetails/343-N-Quince-St-Salt-Lake-City-UT-84103/141825373_zpid/,Mansell Real Estate
1484,2072625876,350000,1259 E South Temp APT 5,Salt Lake City,UT,84102,CONDO,1.0,1.0,925.0,40.76971,-111.85476,https://www.zillow.com/homedetails/1259-E-South-Temp-APT-5-Salt-Lake-City-UT-84102/2072625876_zpid/,Berkshire Hathaway HomeServices
1485,83832558,1999000,1116 N Twickenham Dr,Salt Lake City,UT,84103,SINGLE_FAMILY,7.0,5.0,7495.0,40.793804,-111.89369,https://www.zillow.com/homedetails/1116-N-Twickenham-Dr-Salt-Lake-City-UT-84103/83832558_zpid/,Coldwell Banker Realty
1486,35978591,499999,1656 W Turin Dr,Salt Lake City,UT,84116,SINGLE_FAMILY,3.0,3.0,2108.0,40.79048,-111.93838,https://www.zillow.com/homedetails/1656-W-Turin-Dr-Salt-Lake-City-UT-84116/35978591_zpid/,Realty ONE Group
1487,12772671,399000,316 E Garfield Ave,Salt Lake City,UT,84115,SINGLE_FAMILY,2.0,1.0,945.0,40.72967,-111.88195,https://www.zillow.com/homedetails/316-E-Garfield-Ave-Salt-Lake-City-UT-84115/12772671_zpid/,RE/MAX Associates
1488,12736400,359900,1329 W 600 S,Salt Lake City,UT,84104,SINGLE_FAMILY,5.0,2.0,1640.0,40.756073,-111.92923,https://www.zillow.com/homedetails/1329-W-600-S-Salt-Lake-City-UT-84104/12736400_zpid/,Realtypath LLC
1489,12719193,325000,131 E 1st Ave APT 304,Salt Lake City,UT,84103,CONDO,1.0,2.0,944.0,40.77109,-111.885994,https://www.zillow.com/homedetails/131-E-1st-Ave-APT-304-Salt-Lake-City-UT-84103/12719193_zpid/,Summit Sotheby Realty
1490,12770893,424900,1853 S McClelland St,Salt Lake City,UT,84105,SINGLE_FAMILY,3.0,2.0,1752.0,40.729904,-111.86049,https://www.zillow.com/homedetails/1853-S-McClelland-St-Salt-Lake-City-UT-84105/12770893_zpid/,Intermountain Properties
1491,12758565,650000,824 E Belmont Ave,Salt Lake City,UT,84105,SINGLE_FAMILY,3.0,2.0,1878.0,40.74776,-111.86736,https://www.zillow.com/homedetails/824-E-Belmont-Ave-Salt-Lake-City-UT-84105/12758565_zpid/,Bere Regis Realty
1493,12738780,420000,809 W 800 S,Salt Lake City,UT,84104,SINGLE_FAMILY,4.0,2.0,1865.0,40.751564,-111.914536,https://www.zillow.com/homedetails/809-W-800-S-Salt-Lake-City-UT-84104/12738780_zpid/,KW Keller Williams
1494,12716572,525000,44 W 300 N,Salt Lake City,UT,84103,SINGLE_FAMILY,2.0,1.0,1396.0,40.776127,-111.89289,https://www.zillow.com/homedetails/44-W-300-N-Salt-Lake-City-UT-84103/12716572_zpid/,Mansell Real Estate
1495,69225184,339900,5 S 500 W UNIT 311,Salt Lake City,UT,84101,CONDO,1.0,2.0,860.0,40.76813,-111.90438,https://www.zillow.com/homedetails/5-S-500-W-UNIT-311-Salt-Lake-City-UT-84101/69225184_zpid/,Century 21 Everest
1496,89422069,410000,2011 S 2100 E APT 12,Salt Lake City,UT,84108,CONDO,2.0,2.0,1083.0,40.726414,-111.82964,https://www.zillow.com/homedetails/2011-S-2100-E-APT-12-Salt-Lake-City-UT-84108/89422069_zpid/,EXP Realty
1497,12760898,1240000,1446 E Gilmer Dr,Salt Lake City,UT,84105,SINGLE_FAMILY,4.0,3.0,2705.0,40.747017,-111.84951,https://www.zillow.com/homedetails/1446-E-Gilmer-Dr-Salt-Lake-City-UT-84105/12760898_zpid/,Ever Home Realty LLC
1498,12715857,325000,346 W 400 N,Salt Lake City,UT,84103,SINGLE_FAMILY,1.0,1.0,779.0,40.778442,-111.90134,https://www.zillow.com/homedetails/346-W-400-N-Salt-Lake-City-UT-84103/12715857_zpid/,Red Valley Real Estate
1499,12720373,699000,776 E 10th Ave,Salt Lake City,UT,84103,TOWNHOUSE,3.0,3.0,1807.0,40.78027,-111.86619,https://www.zillow.com/homedetails/776-E-10th-Ave-Salt-Lake-City-UT-84103/12720373_zpid/,Summit Sotheby Realty
1500,12722157,3500000,1315 E 2nd Ave,Salt Lake City,UT,84103,SINGLE_FAMILY,4.0,7.0,7061.0,40.772144,-111.85017,https://www.zillow.com/homedetails/1315-E-2nd-Ave-Salt-Lake-City-UT-84103/12722157_zpid/,Summit Sotheby Realty
1501,12763224,799950,895 S Donner Cir UNIT C,Salt Lake City,UT,84108,SINGLE_FAMILY,3.0,3.0,3154.0,40.749687,-111.80366,https://www.zillow.com/homedetails/895-S-Donner-Cir-UNIT-C-Salt-Lake-City-UT-84108/12763224_zpid/,REDFIN CORPORATION
1502,12738644,389900,653 S Post St,Salt Lake City,UT,84104,SINGLE_FAMILY,3.0,2.0,2088.0,40.754887,-111.917854,https://www.zillow.com/homedetails/653-S-Post-St-Salt-Lake-City-UT-84104/12738644_zpid/,Unity Group Real Estate
1504,12713442,210000,1861 W 600 N APT 12,Salt Lake City,UT,84116,CONDO,2.0,1.0,800.0,40.782055,-111.94412,https://www.zillow.com/homedetails/1861-W-600-N-APT-12-Salt-Lake-City-UT-84116/12713442_zpid/,REDFIN CORPORATION
1505,12736861,369000,652 S 800 W,Salt Lake City,UT,84104,SINGLE_FAMILY,2.0,1.0,1112.0,40.75496,-111.914406,https://www.zillow.com/homedetails/652-S-800-W-Salt-Lake-City-UT-84104/12736861_zpid/,Utah Key Real Estate
1506,12755427,340000,29 S State St APT 115,Salt Lake City,UT,84111,CONDO,1.0,1.0,552.0,40.76838,-111.88798,https://www.zillow.com/homedetails/29-S-State-St-APT-115-Salt-Lake-City-UT-84111/12755427_zpid/,Berkshire Hathaway HomeServices
1507,12786104,419000,1180 E 2700 S APT U167,Salt Lake City,UT,84106,CONDO,3.0,2.0,1750.0,40.710926,-111.85585,https://www.zillow.com/homedetails/1180-E-2700-S-APT-U167-Salt-Lake-City-UT-84106/12786104_zpid/,Equity Real Estate
1508,12762406,575000,2086 E Michigan Ave,Salt Lake City,UT,84108,TOWNHOUSE,4.0,3.0,2094.0,40.74724,-111.831566,https://www.zillow.com/homedetails/2086-E-Michigan-Ave-Salt-Lake-City-UT-84108/12762406_zpid/,Eightline Real Estate
